0000-0002-1484-1893|employments|Instituto Politécnico do Porto Escola Superior de Saúde |RINGGOLD|203255|0000-0002-1484-1893_employments_5636083
0000-0002-1484-1893|educations|Universidade do Porto Faculdade de Desporto|RINGGOLD|224740|0000-0002-1484-1893_educations_5636056
0000-0002-1484-1893|educations|Universidade do Porto Faculdade de Desporto|RINGGOLD|224740|0000-0002-1484-1893_educations_5636066
0000-0002-1484-1893|educations|Instituto Politécnico do Porto Escola Superior de Tecnologia da Saúde do Porto|RINGGOLD|203255|0000-0002-1484-1893_educations_5636079
0000-0001-5057-7893|employments|University of Oregon College of Education|RINGGOLD|143853|0000-0001-5057-7893_employments_64516
0000-0001-5057-7893|educations|University of Oregon College of Education|RINGGOLD|143853|0000-0001-5057-7893_educations_64512
0000-0003-4608-6893|employments|University of Bremen|GRID|grid.7704.4|0000-0003-4608-6893_employments_5872768
0000-0003-4608-6893|educations|University of Bremen|GRID|grid.7704.4|0000-0003-4608-6893_educations_5872762
0000-0002-6595-6893|educations|Nanjing University|RINGGOLD|12581|0000-0002-6595-6893_educations_758898
0000-0002-6595-6893|educations|Queen Mary University of London|RINGGOLD|4617|0000-0002-6595-6893_educations_758897
0000-0002-2771-4893|educations|Pontifícia Universidade Católica do Rio Grande do Sul|RINGGOLD|28102|0000-0002-2771-4893_educations_4879244
0000-0002-2771-4893|educations|Universidade Federal de Santa Maria|RINGGOLD|28118|0000-0002-2771-4893_educations_4879246
0000-0002-2771-4893|educations|Centro Universitário Franciscano|RINGGOLD|42510|0000-0002-2771-4893_educations_4879235
0000-0001-6510-3893|educations|Universidade Federal do Oeste do Pará|RINGGOLD|245076|0000-0001-6510-3893_educations_879607
0000-0003-0302-7893|employments|Victoria University of Wellington|RINGGOLD|8491|0000-0003-0302-7893_employments_1394340
0000-0003-0302-7893|employments|Universiteit Twente|RINGGOLD|3230|0000-0003-0302-7893_employments_1394341
0000-0003-0302-7893|educations|National School of Political Science and Public Administration|RINGGOLD|187189|0000-0003-0302-7893_educations_1394336
